Bechdel Test,Characters,Female Speaking Percentage,Season,Episode,Title
Fail,,0.0,1,1,The Vulcan Hello
Fail,,0.0,1,2,Battle At The Binary Stars
Fail,,0.0,1,3,Context Is For Kings
Fail,,0.0,1,4,The Butchers Knife Cares Not For The Lambs Cry
Fail,,0.0,1,5,Choose Your Pain
Fail,,0.0,1,6,Lethe
Fail,,0.0,1,7,Magic To Make The Sanest Man Go Mad
Fail,,0.0,1,8,Si Vis Pacem Para Bellum
Fail,,0.0,1,9,Into The Forest I Go
Fail,,0.0,1,10,Despite Yourself
Fail,,0.0,1,11,The Wolf Inside
Fail,,0.0,1,12,Vaulting Ambition
Fail,,0.0,1,13,Whats Past Is Prologue
Fail,,0.0,1,14,The War Without The War Within
Fail,,0.0,1,15,Will You Take My Hand
Fail,,0.0,4,1,Kobayashi Maru
Fail,,0.0,4,2,Anomaly
Fail,,0.0,4,3,Choose To Live
Fail,,0.0,4,4,All Is Possible
Fail,,0.0,4,5,The Examples
Fail,,0.0,4,6,Stormy Weather
Fail,,0.0,4,7,But To Connect
Fail,,0.0,4,8,All In
Fail,,0.0,4,9,Rubicon
Fail,,0.0,4,10,The Galactic Barrier
Fail,,0.0,4,11,Rosetta
Fail,,0.0,4,12,Species Ten C
Fail,,0.0,4,13,Coming Home
